"SAMPLEID","LAT","LONG","INDEX_REGION","INDEX_NAME","ni_total","nt_CruMol","pi_ffg_pred","pi_ffg_shred","pi_habit_cling","pi_CruMol","nt_tv_toler","pt_NonIns","pi_habit_climb","pi_EPT","pi_EPTNoBaeHydro","pi_tv_toler","nt_EPT","pi_Cru","pt_tv_intol","nt_NonIns","pi_ffg_scrap","pi_IsopGastHiru","pi_NonIns","pi_Pleco","pt_tv_toler","pi_ffg_col","pi_habit_sprawl","nt_Trich","nt_habit_cling","pi_tv_intol"
"360124-6/20/07",46.22952,-88.70103,"MIDSIZEDRY","MIEGLE_2020",258,7,21.3178294573643,1.93798449612403,52.3255813953488,15.1162790697674,3,25,4.65116279069767,48.4496124031008,36.046511627907,1.55038759689922,14,11.6279069767442,30,10,30.2325581395349,2.32558139534884,18.6046511627907,2.32558139534884,7.5,35.2713178294574,7.36434108527132,6,15,41.0852713178295
"360130-6/21/07",46.20749,-88.47154,"MIDSIZEDRY","MIEGLE_2020",260,4,31.9230769230769,3.46153846153846,52.6923076923077,6.92307692307692,2,16.6666666666667,3.84615384615385,43.0769230769231,23.8461538461538,0.769230769230769,14,5,33.3333333333333,5,13.0769230769231,0.384615384615385,8.07692307692308,3.46153846153846,6.66666666666667,37.3076923076923,6.15384615384615,6,13,34.2307692307692
"360137-6/22/07",46.33372,-88.33179,"VERYNARROW","MIEGLE_2020",276,4,19.9275362318841,1.44927536231884,52.1739130434783,2.53623188405797,1,18.75,9.05797101449275,35.5072463768116,22.8260869565217,0.72463768115942,14,1.08695652173913,34.375,6,5.43478260869565,1.08695652173913,3.98550724637681,1.44927536231884,3.125,46.7391304347826,9.05797101449275,7,16,30.4347826086957
"360144-6/22/07",46.33113,-88.34435,"VERYNARROW","MIEGLE_2020",217,1,19.815668202765,1.84331797235023,34.5622119815668,3.2258064516129,1,14.2857142857143,4.14746543778802,13.3640552995392,11.9815668202765,0.921658986175115,10,0,28.5714285714286,4,0.460829493087558,0.460829493087558,8.29493087557604,0,3.57142857142857,61.2903225806452,11.9815668202765,7,9,13.3640552995392
"360146-6/23/07",46.2452,-88.15964,"MIDSIZEDRY","MIEGLE_2020",315,8,18.0952380952381,17.1428571428571,34.2857142857143,22.2222222222222,4,22.4489795918367,5.71428571428571,33.015873015873,27.6190476190476,3.17460317460317,19,14.6031746031746,28.5714285714286,11,16.1904761904762,3.80952380952381,23.1746031746032,0.634920634920635,8.16326530612245,33.968253968254,7.93650793650794,10,19,27.6190476190476
"360146-6/27/12",46.2452,-88.15964,"MIDSIZEDRY","MIEGLE_2020",274,8,21.1678832116788,5.10948905109489,60.5839416058394,11.3138686131387,2,22.5,6.56934306569343,56.5693430656934,42.3357664233577,1.45985401459854,19,1.82481751824818,37.5,9,17.5182481751825,4.01459854014599,12.7737226277372,4.01459854014599,5,30.2919708029197,5.10948905109489,9,17,42.3357664233577
"360146-6/28/08",46.2452,-88.15964,"MIDSIZEDRY","MIEGLE_2020",252,6,23.015873015873,11.5079365079365,49.6031746031746,15.4761904761905,3,20,2.77777777777778,50.3968253968254,45.2380952380952,1.19047619047619,16,5.15873015873016,35,8,17.4603174603175,2.77777777777778,17.0634920634921,1.19047619047619,7.5,21.4285714285714,10.3174603174603,9,19,44.0476190476191
"360154-6/14/07",45.9811,-88.4037,"WETWIDE","MIEGLE_2020",221,8,9.04977375565611,6.78733031674208,33.0316742081448,19.0045248868778,3,31.25,11.7647058823529,29.8642533936652,26.6968325791855,9.50226244343891,8,1.35746606334842,15.625,10,28.5067873303167,12.2171945701357,34.3891402714932,0,9.375,48.4162895927602,5.88235294117647,4,11,26.2443438914027
"360154-6/14/12",45.9811,-88.4037,"WETWIDE","MIEGLE_2020",353,6,9.06515580736544,6.23229461756374,62.6062322946176,33.4277620396601,3,22.8571428571429,5.38243626062323,37.1104815864023,21.5297450424929,5.94900849858357,15,6.79886685552408,31.4285714285714,8,35.6940509915014,23.2294617563739,35.1274787535411,1.98300283286119,8.57142857142857,36.8271954674221,2.8328611898017,7,17,18.6968838526912
"360155-6/15/07",46.02524,-88.6009,"MIDSIZEDRY","MIEGLE_2020",333,5,4.8048048048048,9.00900900900901,75.975975975976,9.00900900900901,2,29.1666666666667,1.2012012012012,76.5765765765766,73.5735735735736,0.600600600600601,7,7.20720720720721,25,7,1.2012012012012,0.900900900900901,12.012012012012,0.600600600600601,8.33333333333333,12.6126126126126,1.8018018018018,4,8,73.8738738738739
